==========================================================
 ANALYSIS REPORT: Week 16
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 2,174,300.00
  RMP Relaxed Value (Root): 684,300.00
  Integrality Gap       : 217.7408 %
  Execution Time  : 314.6841 sec
  Iterations      : 390
  RMP Time  : 214.7878 s
  MIP Time  : 15.2347 s
  Pool Search Time: 0.0021 s
  Graph Search Time: 84.1442 s
  MIP Decision Variables: 1652 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 1652
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 1642
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  302 / Total Gen:  302
       -> Avg Length of Unique Patterns: 45.6 hours
  Type: TypeB  | Unique Patterns:  283 / Total Gen:  565
       -> Avg Length of Unique Patterns: 35.5 hours
  Type: TypeC  | Unique Patterns:  390 / Total Gen:  780
       -> Avg Length of Unique Patterns: 21.5 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 45 hours worked
  Emp 1  (TypeB): 38 hours worked
  Emp 2  (TypeB): 37 hours worked
  Emp 3  (TypeC): 19 hours worked
  Emp 4  (TypeC): 23 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 101,016,000.00  | 0          | 5         
2     | 40,130,700.00   | 0          | 5         
3     | 19,190,600.00   | 0          | 5         
4     | 12,191,000.00   | 0          | 5         
5     | 8,180,100.00    | 0          | 5         
6     | 8,176,433.31    | 0          | 5         
7     | 7,747,828.52    | 0          | 5         
8     | 7,178,916.77    | 0          | 5         
9     | 6,892,349.95    | 0          | 5         
10    | 6,011,491.67    | 0          | 5         
11    | 5,732,277.76    | 0          | 5         
12    | 5,696,753.05    | 0          | 5         
13    | 5,253,270.37    | 0          | 5         
14    | 4,979,367.50    | 0          | 5         
15    | 4,622,597.15    | 0          | 5         
16    | 4,281,236.32    | 0          | 5         
17    | 3,977,181.50    | 0          | 5         
18    | 3,605,393.20    | 0          | 5         
19    | 3,372,019.84    | 0          | 5         
20    | 3,073,730.26    | 0          | 5         
21    | 2,781,757.74    | 0          | 5         
22    | 2,668,315.12    | 0          | 5         
23    | 2,543,365.93    | 0          | 5         
24    | 2,453,642.11    | 0          | 5         
25    | 2,425,317.52    | 0          | 5         
26    | 2,368,585.80    | 0          | 5         
27    | 2,238,072.16    | 0          | 5         
28    | 2,182,081.08    | 0          | 5         
29    | 2,068,764.94    | 0          | 5         
30    | 1,898,264.61    | 0          | 5         
31    | 1,850,984.94    | 0          | 5         
32    | 1,797,066.36    | 0          | 5         
33    | 1,737,468.05    | 0          | 5         
34    | 1,719,594.82    | 0          | 5         
35    | 1,680,252.35    | 0          | 5         
36    | 1,573,615.75    | 0          | 5         
37    | 1,516,039.95    | 0          | 5         
38    | 1,467,061.56    | 0          | 5         
39    | 1,389,178.53    | 0          | 5         
40    | 1,359,570.39    | 0          | 5         
41    | 1,323,059.85    | 0          | 5         
42    | 1,280,854.78    | 0          | 5         
43    | 1,269,796.93    | 0          | 5         
44    | 1,210,470.03    | 0          | 5         
45    | 1,197,599.01    | 0          | 5         
46    | 1,169,341.94    | 0          | 5         
47    | 1,052,747.09    | 0          | 5         
48    | 998,463.53      | 0          | 5         
49    | 993,873.09      | 0          | 5         
50    | 980,495.97      | 0          | 5         
51    | 963,636.16      | 0          | 5         
52    | 956,015.24      | 0          | 5         
53    | 939,440.41      | 0          | 5         
54    | 925,021.43      | 0          | 5         
55    | 900,327.25      | 0          | 5         
56    | 889,033.84      | 0          | 5         
57    | 862,432.09      | 0          | 5         
58    | 850,421.78      | 0          | 5         
59    | 834,085.66      | 0          | 5         
60    | 814,956.99      | 0          | 5         
61    | 814,956.99      | 0          | 5         
62    | 814,956.99      | 0          | 5         
63    | 807,466.08      | 0          | 5         
64    | 806,118.74      | 0          | 5         
65    | 783,122.32      | 0          | 5         
66    | 764,186.88      | 0          | 5         
67    | 755,824.94      | 0          | 5         
68    | 755,824.94      | 0          | 5         
69    | 723,184.63      | 0          | 5         
70    | 714,326.63      | 0          | 5         
71    | 703,783.91      | 0          | 5         
72    | 703,783.91      | 0          | 5         
73    | 703,783.91      | 0          | 5         
74    | 701,896.30      | 0          | 5         
75    | 701,896.30      | 0          | 5         
76    | 695,383.43      | 0          | 5         
77    | 695,383.43      | 0          | 5         
78    | 693,329.31      | 0          | 5         
79    | 693,045.00      | 0          | 5         
80    | 692,198.65      | 0          | 5         
81    | 691,229.04      | 0          | 5         
82    | 691,229.04      | 0          | 5         
83    | 690,200.00      | 0          | 5         
84    | 689,940.00      | 0          | 5         
85    | 689,163.04      | 0          | 5         
86    | 689,163.04      | 0          | 5         
87    | 689,163.04      | 0          | 5         
88    | 688,742.55      | 0          | 5         
89    | 688,742.55      | 0          | 5         
90    | 688,388.71      | 0          | 5         
91    | 688,388.71      | 0          | 5         
92    | 688,040.90      | 0          | 5         
93    | 687,510.49      | 0          | 5         
94    | 687,510.49      | 0          | 5         
95    | 687,510.49      | 0          | 5         
96    | 687,510.49      | 0          | 5         
97    | 685,975.00      | 0          | 5         
98    | 685,975.00      | 0          | 5         
99    | 685,975.00      | 0          | 5         
100   | 685,975.00      | 0          | 5         
101   | 685,975.00      | 0          | 5         
102   | 685,975.00      | 0          | 5         
103   | 685,725.00      | 0          | 5         
104   | 685,707.69      | 0          | 5         
105   | 685,707.69      | 0          | 5         
106   | 685,707.69      | 0          | 5         
107   | 685,707.69      | 0          | 5         
108   | 685,707.69      | 0          | 5         
109   | 685,707.69      | 0          | 5         
110   | 685,634.62      | 0          | 5         
111   | 685,146.15      | 0          | 5         
112   | 685,146.15      | 0          | 5         
113   | 685,146.15      | 0          | 5         
114   | 685,146.15      | 0          | 5         
115   | 685,146.15      | 0          | 5         
116   | 685,146.15      | 0          | 5         
117   | 685,146.15      | 0          | 5         
118   | 685,146.15      | 0          | 5         
119   | 685,146.15      | 0          | 5         
120   | 685,146.15      | 0          | 5         
121   | 685,146.15      | 0          | 5         
122   | 685,146.15      | 0          | 5         
123   | 685,146.15      | 0          | 5         
124   | 685,047.50      | 0          | 5         
125   | 685,047.50      | 0          | 5         
126   | 685,047.50      | 0          | 5         
127   | 685,047.50      | 0          | 5         
128   | 685,047.50      | 0          | 5         
129   | 685,047.50      | 0          | 5         
130   | 685,047.50      | 0          | 5         
131   | 685,047.50      | 0          | 5         
132   | 685,047.50      | 0          | 5         
133   | 685,047.50      | 0          | 5         
134   | 684,973.26      | 0          | 5         
135   | 684,973.26      | 0          | 5         
136   | 684,738.89      | 0          | 5         
137   | 684,738.89      | 0          | 5         
138   | 684,738.89      | 0          | 5         
139   | 684,647.22      | 0          | 5         
140   | 684,647.22      | 0          | 5         
141   | 684,647.22      | 0          | 5         
142   | 684,647.22      | 0          | 5         
143   | 684,647.22      | 0          | 5         
144   | 684,647.22      | 0          | 5         
145   | 684,647.22      | 0          | 5         
146   | 684,630.43      | 0          | 5         
147   | 684,630.43      | 0          | 5         
148   | 684,630.43      | 0          | 5         
149   | 684,630.43      | 0          | 5         
150   | 684,630.43      | 0          | 5         
151   | 684,630.43      | 0          | 5         
152   | 684,630.43      | 0          | 5         
153   | 684,630.43      | 0          | 5         
154   | 684,630.43      | 0          | 4         
155   | 684,630.43      | 0          | 5         
156   | 684,630.43      | 0          | 5         
157   | 684,630.43      | 0          | 5         
158   | 684,500.49      | 0          | 5         
159   | 684,500.49      | 0          | 5         
160   | 684,482.95      | 0          | 5         
161   | 684,466.25      | 0          | 5         
162   | 684,466.25      | 0          | 5         
163   | 684,466.25      | 0          | 5         
164   | 684,456.58      | 0          | 5         
165   | 684,456.58      | 0          | 4         
166   | 684,456.58      | 0          | 5         
167   | 684,456.58      | 0          | 4         
168   | 684,456.58      | 0          | 5         
169   | 684,456.58      | 0          | 5         
170   | 684,456.58      | 0          | 5         
171   | 684,456.58      | 0          | 4         
172   | 684,456.58      | 0          | 5         
173   | 684,456.58      | 0          | 5         
174   | 684,456.58      | 0          | 4         
175   | 684,456.58      | 0          | 5         
176   | 684,456.58      | 0          | 4         
177   | 684,456.58      | 0          | 5         
178   | 684,456.58      | 0          | 5         
179   | 684,456.58      | 0          | 5         
180   | 684,456.58      | 0          | 5         
181   | 684,456.58      | 0          | 4         
182   | 684,407.14      | 0          | 5         
183   | 684,397.37      | 0          | 4         
184   | 684,397.37      | 0          | 5         
185   | 684,397.37      | 0          | 5         
186   | 684,397.37      | 0          | 5         
187   | 684,397.37      | 0          | 5         
188   | 684,397.37      | 0          | 4         
189   | 684,371.43      | 0          | 5         
190   | 684,371.43      | 0          | 4         
191   | 684,371.43      | 0          | 2         
192   | 684,371.43      | 0          | 3         
193   | 684,371.43      | 0          | 3         
194   | 684,371.43      | 0          | 5         
195   | 684,371.43      | 0          | 3         
196   | 684,371.43      | 0          | 2         
197   | 684,371.43      | 0          | 2         
198   | 684,371.43      | 0          | 5         
199   | 684,371.43      | 0          | 2         
200   | 684,371.43      | 0          | 2         
201   | 684,371.43      | 0          | 5         
202   | 684,371.43      | 0          | 3         
203   | 684,371.43      | 0          | 4         
204   | 684,371.43      | 0          | 2         
205   | 684,371.43      | 0          | 4         
206   | 684,371.43      | 0          | 3         
207   | 684,371.43      | 0          | 5         
208   | 684,371.43      | 0          | 2         
209   | 684,371.43      | 0          | 3         
210   | 684,371.43      | 0          | 2         
211   | 684,371.43      | 0          | 4         
212   | 684,371.43      | 0          | 2         
213   | 684,371.43      | 0          | 3         
214   | 684,371.43      | 0          | 5         
215   | 684,371.43      | 0          | 3         
216   | 684,371.43      | 0          | 4         
217   | 684,371.43      | 0          | 4         
218   | 684,371.43      | 0          | 2         
