col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
0,0,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,7784753.351387947
1,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,6972501.692620174
2,1,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,5679043.534190927
3,1,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,4862791.875423154
4,2,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,5679043.534190925
5,2,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,4862791.875423152
6,3,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,3677992.6878808397
7,3,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,3625704.6716316855
8,4,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,3677992.687880839
9,4,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,3625704.671631685
10,0,TypeA,49800,000000011111111110000000000000000111111111100000000000000001111111110000000000000000000000000000000000000000000000000000000000000111111111100000000000111111111000000000,1,0,1576048.7474610675
11,1,TypeB,42800,000000000000000000000000000000000001111111100000000000000001111111000000000000000000000000000000000000000000000111111100000000000111111110000000000000011111111000000000,1,0,1168647.664184154
12,2,TypeB,42800,000000000000000000000000000000000001111111100000000000000001111111000000000000000000000000000000000000000000000111111100000000000111111110000000000000011111111000000000,1,0,1168647.6641841521
13,3,TypeC,31200,000000111100000000000000000000000001111110000000000111111000000000000000000000000000000000000000000000000000000000000000000001111110000000000000000000000011111000000000,1,0,106992.0785375745
14,4,TypeC,31200,000000111100000000000000000000000001111110000000000111111000000000000000000000000000000000000000000000000000000000000000000001111110000000000000000000000011111000000000,1,0,106992.07853757404
15,0,TypeA,44600,000000000000011111111100000000000000000000000000000000000000000000111111110000000000011111111000000000000011111111000000000000000000000000000000000000000001111111100000,1,0,2618568.1787406886
16,1,TypeB,32000,000000000000011111110000000000111100000000000000000000000000000000000011111100000000011111111000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,1942196.276235612
17,2,TypeB,32000,000000000000011111110000000000111100000000000000000000000000000000000011111100000000011111111000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,1942196.2762356102
18,3,TypeC,29900,000000000000011110000000000000111100000000000000000000000000000000000011111100000000000111111000000000000011111100000000000000000000000000000000000000000000000000000000,1,0,179265.402843602
19,4,TypeC,29900,000000000000011110000000000000111100000000000000000000000000000000000011111100000000000111111000000000000011111100000000000000000000000000000000000000000000000000000000,1,0,179265.40284360154
20,0,TypeA,48800,000000000000000000000111111111100000000000000000000000001111111100000000000000111111111100000000000000011111111000000000000000000001111111100000000000000000000000000000,1,0,974264.5226811105
21,1,TypeB,31800,001111100000000000000111111000000000000000000000000000001111100000000000000000111111110000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,1590766.4861205164
22,2,TypeB,31800,001111100000000000000111111000000000000000000000000000001111100000000000000000111111110000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,1590766.4861205146
23,3,TypeC,27400,001111100000000000000111111000000000000000000000000000001111100000000000000000111000000000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,1116426.8788083964
24,4,TypeC,27400,001111100000000000000111111000000000000000000000000000001111100000000000000000111000000000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,1116426.878808396
25,0,TypeA,47400,000000111111110000000000000000111111110000000000000000000000000000000000000000111111111100000000000000000000000001111111100000000000000000000000000000111111110000000000,1,0,1819700.8124576844
26,1,TypeB,26500,000000111111100000000000000000000000000000000000000000000000000011110000000000000000011110000000000000000000000000011111100000000000000000000000000000111100000000000000,1,0,4501859.715639813
27,2,TypeB,26500,000000111111100000000000000000000000000000000000000000000000000011110000000000000000011110000000000000000000000000011111100000000000000000000000000000111100000000000000,1,0,4501859.715639811
28,3,TypeC,24100,000000111111000000000000000000000000000000000000000000000000000011110000000000000000011100000000000000000000000000011111100000000000000000000000000000111000000000000000,1,0,2498408.8693297263
29,4,TypeC,24100,000000111111000000000000000000000000000000000000000000000000000011110000000000000000011100000000000000000000000000011111100000000000000000000000000000111000000000000000,1,0,2498408.8693297254
30,0,TypeA,45200,000000000001111111100000000000000111111110000000000000001111111110000000000000000000000000000000000000011111111110000000000000000000000000000000000000001111111110000000,1,0,1271989.5734597119
31,1,TypeB,32100,000000000000111100000000000000000000111100000000011111111000000000000000000000000000000000000000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,1157314.8950575516
32,2,TypeB,32100,000000000000111100000000000000000000111100000000011111111000000000000000000000000000000000000000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,1157314.8950575497
33,3,TypeC,20900,000000000000111000000000000000000000011100000000000000001111000000000000000000000000000000000000000000000000011110000000000000000000000000000000000000111000000000000000,1,0,82191.74001354119
34,4,TypeC,20900,000000000000111000000000000000000000011100000000000000001111000000000000000000000000000000000000000000000000011110000000000000000000000000000000000000111000000000000000,1,0,82191.74001354072
35,0,TypeA,53500,001111111100000000000111111111100000000000000000000000000000000000000000000000111111111100000000000000011111111110000000000000111111110000000000000000000000000000000000,1,0,1665338.4563304028
36,1,TypeB,39400,001111111100000000000111111000000000000000000000000000000000000000000000000000111111110000000000000000000011111110000000000000111111110000000000000000000000000000000000,1,0,370080.6364251869
37,2,TypeB,39400,001111111100000000000111111000000000000000000000000000000000000000000000000000111111110000000000000000000011111110000000000000111111110000000000000000000000000000000000,1,0,370080.636425185
38,3,TypeC,23100,000000011100000000000111111000000000000000000000000000000000000000000000000000111000000000000000000000000000011110000000000000111110000000000000000000000000000000000000,1,0,1526861.0697359503
39,4,TypeC,23100,000000011100000000000111111000000000000000000000000000000000000000000000000000111000000000000000000000000000011110000000000000111110000000000000000000000000000000000000,1,0,1526861.0697359499
40,0,TypeA,48300,000000000000000000000000000000111111110000000000000000000000000000000000000000111111111100000000000000011111111000000000000000011111111110000000000000001111111110000000,1,0,876023.290453623
41,1,TypeB,34700,000000000000000000000000000000111111110000000000000000000000000000000000000000111111110000000000000000011111110000000000000000000000001111000000000000000000111110000000,1,0,1234319.972918082
42,2,TypeB,34700,000000000000000000000000000000111111110000000000000000000000000000000000000000111111110000000000000000011111110000000000000000000000001111000000000000000000111110000000,1,0,1234319.9729180802
43,3,TypeC,22900,000000000000000011110000000000111100000000000000000000000000000000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000111110000000,1,0,1383500.0677048084
44,4,TypeC,22900,000000000000000011110000000000111100000000000000000000000000000000000000000000000000011100000000000000000000000000000000000000000000001110000000000000000000111110000000,1,0,1383500.067704808
45,0,TypeA,55200,000000000000000011111111100000000000000000000000011111111000000000000011111111100000000000000000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,2428536.222071762
46,1,TypeB,38400,001111111100000000000000000000111111110000000000011111111000000000000000000111100000000000000000000000000000000000000000111111110000000000000000000000000000000000000000,1,0,1071323.493568045
47,2,TypeB,38400,001111111100000000000000000000111111110000000000011111111000000000000000000111100000000000000000000000000000000000000000111111110000000000000000000000000000000000000000,1,0,1071323.4935680432
48,3,TypeC,27300,000000000000000011111100000000000000011110000000000000000001111110000000000111100000000000000000000000000000000000000111100000000000000000000000000000000000000000000000,1,0,1321892.9587000688
49,4,TypeC,27300,000000000000000011111100000000000000011110000000000000000001111110000000000111100000000000000000000000000000000000000111100000000000000000000000000000000000000000000000,1,0,1321892.9587000683
50,0,TypeA,47100,000000000000000000000000000000000001111111100000000000000001111111110000000000000000111111110000000000011111111110000000000000111111111100000000000000000000000000000000,1,0,3424069.329722411
51,1,TypeB,36100,000000000000000000000000000000000000011111100000000000000000000011111110000000000000011111110000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,1580415.978334466
52,2,TypeB,36100,000000000000000000000000000000000000011111100000000000000000000011111110000000000000011111110000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,1580415.9783344641
53,3,TypeC,28500,000000000000000000000000000000000000011111100000000000001111100000000000000000000000011100000000000000011110000000000000000001111110000000000000000000000000000000000000,1,0,1230402.9113067072
54,4,TypeC,28500,000000000000000000000000000000000000011111100000000000001111100000000000000000000000011100000000000000011110000000000000000001111110000000000000000000000000000000000000,1,0,1230402.9113067067
55,0,TypeA,54400,000000000000000111111111100000000000000000000000000111111111100000000000000000111111111100000000000000011111111110000000000000000000000000000000000000001111111110000000,1,0,246753.0805687206
56,1,TypeB,35200,000000000000000111111100000000000000000000000000011111111000000000000000000000000000011111111000000000000011111110000000000000000000001111000000000000000000000000000000,1,0,2391550.9140148936
57,2,TypeB,35200,000000000000000111111100000000000000000000000000011111111000000000000000000000000000011111111000000000000011111110000000000000000000001111000000000000000000000000000000,1,0,2391550.9140148917
58,3,TypeC,28000,000000000000000000000111111000000000000000000000000111111000000000000000000000000000000000000000000000000000011110000000000000000000001110000000000000111111000000000000,1,0,3001.015572103206
59,4,TypeC,28000,000000000000000000000111111000000000000000000000000111111000000000000000000000000000000000000000000000000000011110000000000000000000001110000000000000111111000000000000,1,0,3001.0155721027404
60,0,TypeA,51000,000000001111111110000000000000000000000000000000000000000000000000000000000000111111111100000000000000011111111110000000000000111111111100000000000000001111111110000000,1,0,757163.303994583
61,1,TypeB,36400,000000001111111000000000111111100000000000000000000000000000000000000000011111110000000000000000000000000000000000011111100000000011111110000000000000000000000000000000,1,0,1848003.8591740015
62,2,TypeB,36400,000000001111111000000000111111100000000000000000000000000000000000000000011111110000000000000000000000000000000000011111100000000011111110000000000000000000000000000000,1,0,1848003.8591739996
63,3,TypeC,29500,000000001111110000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000000000011110000000000000000001111110000000,1,0,273722.6811103602
64,4,TypeC,29500,000000001111110000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000000000011110000000000000000001111110000000,1,0,273722.6811103597
65,0,TypeA,50500,000000000000011111111100000000000111111110000000000000011111111110000000000000000000000000000000000000000000000000000000111111111100000000000000000000001111111110000000,1,0,1491441.9769803612
66,1,TypeB,40100,000000000000011111110000000000000111111110000000000000000000000000000000000000000000011111111000000000000000011111111000000000000000000000000000000000111111100000000000,1,0,965514.0148950536
67,2,TypeB,40100,000000000000011111110000000000000111111110000000000000000000000000000000000000000000011111111000000000000000011111111000000000000000000000000000000000111111100000000000,1,0,965514.0148950517
68,3,TypeC,28300,000000000000000000000111111000000000011110000000000000000000000000000000000000000000000111111000000000000000000000000000000000111100000000000000000000001111100000000000,1,0,354863.23628977267
69,4,TypeC,28300,000000000000000000000111111000000000011110000000000000000000000000000000000000000000000111111000000000000000000000000000000000111100000000000000000000001111100000000000,1,0,354863.2362897722
70,0,TypeA,49800,000000111111111100000000000000111111110000000000000000000000000011111111110000000000000000000000000000000000011111111100000000000111111110000000000000000000000000000000,1,0,2123210.1557210563
71,1,TypeB,41400,000000000000111111110000000000111111110000000000000000000000000000011111110000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,385898.03656059504
72,2,TypeB,41400,000000000000111111110000000000111111110000000000000000000000000000011111110000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,385898.0365605932
73,3,TypeC,21800,000000000000111100000000001111100000000000000000011100000000000011110000000000000000000000000000000000000000000000000000000000111100000000000000000000000000000000000000,1,0,2377533.5138794854
74,4,TypeC,21800,000000000000111100000000001111100000000000000000011100000000000011110000000000000000000000000000000000000000000000000000000000111100000000000000000000000000000000000000,1,0,2377533.513879485
75,0,TypeA,49100,000000111111111000000000000000000000000000000000000000000001111111110000000000000000000000000000000000011111111110000000000000000111111111100000000000001111111110000000,1,0,1202284.495599187
76,1,TypeB,37800,000000000000000000000000111111100000000000000000000000000000000111111110000000000000011111111000000000011111110000000000000000000000011111100000000000000000000000000000,1,0,1310709.3432633737
77,2,TypeB,37800,000000000000000000000000111111100000000000000000000000000000000111111110000000000000011111111000000000011111110000000000000000000000011111100000000000000000000000000000,1,0,1310709.3432633718
78,3,TypeC,32100,000000000000000000000000001111100000000000000000000000000001111110000000000000000000000000000000000000000011110000000000000000000000011111100000000000111111000000000000,1,0,1645520.717670953
79,4,TypeC,32100,000000000000000000000000001111100000000000000000000000000001111110000000000000000000000000000000000000000011110000000000000000000000011111100000000000111111000000000000,1,0,1645520.7176709524
80,0,TypeA,46800,000000001111111110000000000000000001111111100000000000001111111111000000000000000000000000000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1538412.2545700688
81,1,TypeB,37000,000000000111111110000000000000000000011111100000000000000000111111110000000000111111110000000000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,402967.6371022342
82,2,TypeB,37000,000000000111111110000000000000000000011111100000000000000000111111110000000000111111110000000000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,402967.6371022323
83,3,TypeC,33600,000000000001111110000000000000000000011111100000000000000000111111000000000000000000000000000000000000000000000000000000000000000000000111100000000000000000111110000000,1,0,42087.67772511905
84,4,TypeC,33600,000000000001111110000000000000000000011111100000000000000000111111000000000000000000000000000000000000000000000000000000000000000000000111100000000000000000111110000000,1,0,42087.677725118585
85,0,TypeA,51300,000000111111111100000000000000111111111100000000000000001111111110000000000000111111111100000000000000000000000000000000000000000000000000000000000000001111111110000000,1,0,21301.01557210274
86,1,TypeB,42500,000000000000001111111100000000000111111110000000000000000000000000011111110000000000000000000000000000000000000000000000000000000111111110000000000000111111100000000000,1,0,1033118.7542315479
87,2,TypeB,42500,000000000000001111111100000000000111111110000000000000000000000000011111110000000000000000000000000000000000000000000000000000000111111110000000000000111111100000000000,1,0,1033118.7542315461
88,3,TypeC,31400,000000111100000000000000000000000000011111100000000000000001111110000000000000000000000000000000000000000000000000000000000000000000001111100000000000001111100000000000,1,0,911276.1679079197
89,4,TypeC,31400,000000111100000000000000000000000000011111100000000000000001111110000000000000000000000000000000000000000000000000000000000000000000001111100000000000001111100000000000,1,0,911276.1679079193
90,0,TypeA,53800,000000000000000000000000111111111100000000000000000000001111111111000000000000111111111100000000000000000000011111111100000000000111111111100000000000000000000000000000,1,0,724843.8727149619
91,1,TypeB,41500,000000000000000000000000000000000000000000000000011111111000000000000000011111110000000000000000000000000011111110000000000000000111111110000000000000111111100000000000,1,0,1088158.2938388586
92,2,TypeB,41500,000000000000000000000000000000000000000000000000011111111000000000000000011111110000000000000000000000000011111110000000000000000111111110000000000000111111100000000000,1,0,1088158.2938388567
93,3,TypeC,29200,000000000000000000000000000000000000011111100000000000001111000000000000000000000000000111111000000000000000000000000111100000000000000000000000000000000000111110000000,1,0,5917.0616113757715
94,4,TypeC,29200,000000000000000000000000000000000000011111100000000000001111000000000000000000000000000111111000000000000000000000000111100000000000000000000000000000000000111110000000,1,0,5917.061611375306
95,0,TypeA,50800,000000000000011111111100000000000111111111100000000000000001111111110000000000000000011111111000000000000000000000000111111111100000000000000000000000000000000000000000,1,0,3045288.016249153
96,1,TypeB,38400,000000000000011110000000000000111111110000000000011111111000000000000000000000000000011111111000000000000000000000000000000000000111111110000000000000000000000000000000,1,0,700259.2417061608
97,2,TypeB,38400,000000000000011110000000000000111111110000000000011111111000000000000000000000000000011111111000000000000000000000000000000000000111111110000000000000000000000000000000,1,0,700259.241706159
98,3,TypeC,27000,000000000000011110000000000000111111000000000000011111000000000011110000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000,1,0,1438421.5301286397
99,4,TypeC,27000,000000000000011110000000000000111111000000000000011111000000000011110000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000,1,0,1438421.5301286392
100,0,TypeA,56300,001111111100000000000111111111100000000000000000000000001111111110000000000000111111111100000000000000000000000000000111111111100000000000000000000000000000000000000000,1,0,1667238.456330399
101,1,TypeB,35000,001111111000000000000000000000000111111110000000000000000001111110000000000000000000011111110000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,2621351.7941773855
102,2,TypeB,35000,001111111000000000000000000000000111111110000000000000000001111110000000000000000000011111110000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,2621351.7941773837
103,3,TypeC,35600,000000000001111110000000000000111111000000000000000000000001111110000000000000000000000000000000000000000000000000000000000001111110000000000000000000000000111110000000,1,0,133560.66350710858
104,4,TypeC,35600,000000000001111110000000000000111111000000000000000000000001111110000000000000000000000000000000000000000000000000000000000001111110000000000000000000000000111110000000,1,0,133560.6635071081
105,0,TypeA,55100,001111111100000000000111111111100000000000000000000000000000000011111111110000000000000000000000000000011111111110000000000000000000000000000000000000001111111110000000,1,0,1019784.2924847649
106,1,TypeB,37800,001111111100000000000000000000000111111110000000000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000001111110000000,1,0,493640.9614082603
107,2,TypeB,37800,001111111100000000000000000000000111111110000000000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000000001111110000000,1,0,493640.9614082584
108,3,TypeC,31800,001111100000000000000000000000000001111110000000000000000000000000000000011111100000000000000000000000000000011110000000000000000000000000000000000000000001111110000000,1,0,4.656612873077393e-10
109,4,TypeC,31800,001111100000000000000000000000000001111110000000000000000000000000000000011111100000000000000000000000000000011110000000000000000000000000000000000000000001111110000000,1,0,0.0
110,0,TypeA,50100,000000111111111100000000000000000111111110000000000000000000000000000000000000000000000000000000000000011111111110000000000000000111111111100000000000011111111110000000,1,0,1340562.2207176695
111,1,TypeB,39100,000000111111110000000000111111100000000000000000011111111000000000000000000000000000000000000000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,566998.2396750189
112,2,TypeB,39100,000000111111110000000000111111100000000000000000011111111000000000000000000000000000000000000000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,566998.2396750171
113,3,TypeC,31100,000000000000011110000000000000000001111110000000000000111111000000000000000000000000000000000000000000000000000000000111100000000000011111100000000000000000000000000000,1,0,358479.62085308274
114,4,TypeC,31100,000000000000011110000000000000000001111110000000000000111111000000000000000000000000000000000000000000000000000000000111100000000000011111100000000000000000000000000000,1,0,358479.6208530823
115,0,TypeA,51700,000000111111111100000000000000000111111111100000000000000000000000000000000000111111111100000000000000011111111110000000000000000000000000000000000000001111111110000000,1,0,943911.6452268111
116,1,TypeB,35200,000000000000001111111100000000000001111111100000000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000111100000000000000,1,0,1861121.9363574814
117,2,TypeB,35200,000000000000001111111100000000000001111111100000000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000111100000000000000,1,0,1861121.9363574795
118,3,TypeC,27500,000000000000001111110000000000000000011111100000000000000000000000000000000000000000000000000000000000000000011110000000000000000000011110000000000000111000000000000000,1,0,1287008.666215302
119,4,TypeC,27500,000000000000001111110000000000000000011111100000000000000000000000000000000000000000000000000000000000000000011110000000000000000000011110000000000000111000000000000000,1,0,1287008.6662153015
120,0,TypeA,55100,000000111111111100000000000000111111110000000000000000000000000000000011111111110000000000000000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,2488507.176709544
121,1,TypeB,41400,000000000000000000000000000000111111110000000000000000000000111111110000000000000000011111111000000000000011111110000000000000111111110000000000000000000000000000000000,1,0,959163.1685849689
122,2,TypeB,41400,000000000000000000000000000000111111110000000000000000000000111111110000000000000000011111111000000000000011111110000000000000111111110000000000000000000000000000000000,1,0,959163.168584967
123,3,TypeC,27000,000000000000000000000000000000000000011111100000000000000000000001111110000000000000000000000000000000000000011110000000000000111110000000000000000000111000000000000000,1,0,138678.74069058988
124,4,TypeC,27000,000000000000000000000000000000000000011111100000000000000000000001111110000000000000000000000000000000000000011110000000000000111110000000000000000000111000000000000000,1,0,138678.74069058942
125,0,TypeA,51300,000000000000000111111111100000000000000000000000000000000000000000000000000000111111111100000000000000000011111111110000000000000011111111100000000000001111111110000000,1,0,1526444.0081245722
126,1,TypeB,37000,001111111100000000011111100000000000000000000000011111111000000000000000000000000000011111111000000000011111110000000000000000000000000000000000000000000000000000000000,1,0,524911.2389979716
127,2,TypeB,37000,001111111100000000011111100000000000000000000000011111111000000000000000000000000000011111111000000000011111110000000000000000000000000000000000000000000000000000000000,1,0,524911.2389979698
128,3,TypeC,30000,000000000000000000011111100000000000011111100000000000000000000000000000011111100000000000000000000000000011110000000000000000111110000000000000000000000000000000000000,1,0,1340028.4360189564
129,4,TypeC,30000,000000000000000000011111100000000000011111100000000000000000000000000000011111100000000000000000000000000011110000000000000000111110000000000000000000000000000000000000,1,0,1340028.436018956
130,0,TypeA,55000,000000111111111100000000000000000000000011111111110000000000000000000011111111100000000000000000000000000011111111110000000000000111111111100000000000000000000000000000,1,0,2206550.7109004725
131,1,TypeB,39400,000000000111111110000000000000000000000000000000000000001111100000000000000000000000011111111000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,634736.7637102241
132,2,TypeB,39400,000000000111111110000000000000000000000000000000000000001111100000000000000000000000011111111000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,634736.7637102222
133,3,TypeC,29700,000000111100000000000000000000000000000000000000000000001111100000000000011111100000000000000000000000000000000000011111100000000000011111100000000000000000000000000000,1,0,1701941.1645226856
134,4,TypeC,29700,000000111100000000000000000000000000000000000000000000001111100000000000011111100000000000000000000000000000000000011111100000000000011111100000000000000000000000000000,1,0,1701941.164522685
135,0,TypeA,49300,000000000000011111111100000000000000000000000000000000001111111110000000000000111111111100000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1198349.6953283632
136,1,TypeB,37800,000000000000001111111100000000000111111110000000000000000000000011111110000000000000000000000000000000011111110000000000000001111110000000000000000000000000000000000000,1,0,2318309.68178741
137,2,TypeB,37800,000000000000001111111100000000000111111110000000000000000000000011111110000000000000000000000000000000011111110000000000000001111110000000000000000000000000000000000000,1,0,2318309.681787408
138,3,TypeC,32300,001111100000000000000111111000000000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000001111110000000000000000000111111000000000000,1,0,207750.3723764359
139,4,TypeC,32300,001111100000000000000111111000000000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000001111110000000000000000000111111000000000000,1,0,207750.37237643544
140,0,TypeA,51100,001111111111000000000000000000111111110000000000000000000000000000000000000000111111111100000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1710858.9031821238
141,1,TypeB,38000,001111111100000000000000000000111111110000000000000001111111100000000000011111110000000000000000000000011111110000000000000000000000000000000000000000000000000000000000,1,0,807633.581584298
142,2,TypeB,38000,001111111100000000000000000000111111110000000000000001111111100000000000011111110000000000000000000000011111110000000000000000000000000000000000000000000000000000000000,1,0,807633.5815842962
143,3,TypeC,31900,000000111111000000000000000000000000011111100000000000000001111110000000000111110000000000000000000000000000000000001111100000000000000000000000000000000000000000000000,1,0,1084355.9241706175
144,4,TypeC,31900,000000111111000000000000000000000000011111100000000000000001111110000000000111110000000000000000000000000000000000001111100000000000000000000000000000000000000000000000,1,0,1084355.924170617
145,0,TypeA,55100,000000000000000000000111111111100000000000000000000000001111111111000000000000111111111100000000000000000011111111110000000000000000000000000000000000011111111110000000,1,0,1145961.6790792095
146,1,TypeB,39400,001111111100000000000000111111100000000000000000000000000001111111000000000000000000000000000000000000000000011111110000000000000111111110000000000000000000000000000000,1,0,818202.1665538251
147,2,TypeB,39400,001111111100000000000000111111100000000000000000000000000001111111000000000000000000000000000000000000000000011111110000000000000111111110000000000000000000000000000000,1,0,818202.1665538233
148,3,TypeC,34400,000000000001111110000000000000000000011111100000000000001111100000000000011111100000000000000000000000000000000000000000000000000000000000000000000000011111100000000000,1,0,149578.7406905871
149,4,TypeC,34400,000000000001111110000000000000000000011111100000000000001111100000000000011111100000000000000000000000000000000000000000000000000000000000000000000000011111100000000000,1,0,149578.74069058662
150,0,TypeA,53100,000000000000000000000111111111100000000000000000000000000000000000000000000000111111111100000000000000000000011111111100000000000111111111100000000000001111111110000000,1,0,1768463.9810426496
151,1,TypeB,38800,000000111111110000000000000000111111110000000000000000000001111111000000000000111111110000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,866422.2748815184
152,2,TypeB,38800,000000111111110000000000000000111111110000000000000000000001111111000000000000111111110000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,866422.2748815166
153,3,TypeC,36500,000000000000000000000000000000000000011111100000000000000001111110000000000000000000000000000000000000000011111100000000000000000000011111100000000000000000111110000000,1,0,179648.34123222763
154,4,TypeC,36500,000000000000000000000000000000000000011111100000000000000001111110000000000000000000000000000000000000000011111100000000000000000000011111100000000000000000111110000000,1,0,179648.34123222716
155,0,TypeA,50800,000000001111111110000000000000111111111100000000000000000000000011111111110000000000011111111000000000000000011111111100000000000000000000000000000000000000000000000000,1,0,1491907.51523358
156,1,TypeB,39000,000000111111110000000000000000111111110000000000011111111000000000000000000000000000011111111000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,531111.2389979679
157,2,TypeB,39000,000000111111110000000000000000111111110000000000011111111000000000000000000000000000011111111000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,531111.238997966
158,3,TypeC,32200,000000000000000011111100000000000000011110000000000000000001111110000000000000000000000111111000000000000000000011111100000000000000000000000000000000000000000000000000,1,0,888240.6905890317
159,4,TypeC,32200,000000000000000011111100000000000000011110000000000000000001111110000000000000000000000111111000000000000000000011111100000000000000000000000000000000000000000000000000,1,0,888240.6905890312
160,0,TypeA,56200,000000000000000000000000111111111100000000000000000000001111111111000000000000111111111100000000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,-2.7939677238464355e-09
161,1,TypeB,41200,001111111100000000000000000000111111110000000000000000000000000011111110000000000000000000000000000000000000000000000000111111100000000000000000000000111111100000000000,1,0,0.0
162,2,TypeB,41200,001111111100000000000000000000111111110000000000000000000000000011111110000000000000000000000000000000000000000000000000111111100000000000000000000000111111100000000000,1,0,-1.862645149230957e-09
163,3,TypeC,32400,000000000000001111110000000000000000011110000000000000000001111110000000000000000000000000000000000000000000000000000000000000111110000000000000000000111111000000000000,1,0,772197.7657413655
164,4,TypeC,32400,000000000000001111110000000000000000011110000000000000000001111110000000000000000000000000000000000000000000000000000000000000111110000000000000000000111111000000000000,1,0,772197.765741365
165,0,TypeA,52300,000000001111111110000000000000000000000011111111110000000000000000000011111111100000000000000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1680456.872037909
166,1,TypeB,34000,001111111100000000000000001111111100000000000000011110000000000000000000011111100000000000000000000000000000011111111000000000000000000000000000000000000000000000000000,1,0,2022086.3236289774
167,2,TypeB,34000,001111111100000000000000001111111100000000000000011110000000000000000000011111100000000000000000000000000000011111111000000000000000000000000000000000000000000000000000,1,0,2022086.3236289755
168,3,TypeC,23500,000000000000000011111100000000000000000000000000011100000000000000000000011111100000000000000000000000000000000000000000000000000000011110000000000000111000000000000000,1,0,2012319.4312796218
169,4,TypeC,23500,000000000000000011111100000000000000000000000000011100000000000000000000011111100000000000000000000000000000000000000000000000000000011110000000000000111000000000000000,1,0,2012319.4312796213
170,0,TypeA,54200,001111111100000000000000000000111111111100000000000000000000000000000000000000111111111100000000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,801133.5815842925
